TIME,DATE,ActStsMach,ActTimCyc,ActTimFill[1],ActTimPlst[1],ActStrCsh[1],ActStrPlst[1],ActPrsMachSpecMax,ActCntCyc,@ActCntCycGood,ActCntCycRej,"ActTmpBrlZn[1,1]","ActTmpBrlZn[1,3]","ActTmpBrlZn[1,4]","ActTmpBrlZn[1,5]","ActTmpBrlZn[1,8]",@Set_SB_Nozzle1Temperature,@Set_SB_Barrel1Temperature,@Set_SB_Barrel2Temperature,@Set_SB_Barrel3Temperature,@Set_SB_FeedThroatTemperature,@Set_SB_UpperLimitOfNozzle1Temperature,@Set_SB_UpperLimitOfBarrel1Temperature,@Set_SB_UpperLimitOfBarrel2Temperature,@Set_SB_UpperLimitOfBarrel3Temperature,@Set_SB_UpperLimitOfFeedThroatTemperature,@Set_SB_LowerLimitOfNozzle1Temperature,@Set_SB_LowerLimitOfBarrel1Temperature,@Set_SB_LowerLimitOfBarrel2Temperature,@Set_SB_LowerLimitOfBarrel3Temperature,@Set_SB_LowerLimitOfFeedThroatTemperature,@ActExtStartPos,SetRecMld,@ActExtTorque6,@ActConsumpPower,@ActInjPeakTime,@ActInjPeakPos,@ActCntCycNoReset,ActPrsXfrSpec[1],@ActContainerGood,@ActInjStartPrs,@ActFlowPeak,@ActBackFlow,@ActLockUpTime,@ActScrewRev,@ActClampOpenTime,@ActEjectTime,@ActPackEndPrs,@ActPackEndPos,@ActResidenceTime,ActStrXfr[1],ActStrCsh[1]
16:35:51,20200821,0A000,12.08,0.335,2.49,4.94,48,87.5,293024,292896,128,220,219.9,220.4,220.5,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.75,L99- NOM,20.15,15.4,0.337,7.74,3886992,87.2,0,-0.4,3.31,2.11,0.25,0.22,4.82,1.28,57.5,4.94,7.92,8,4.94
16:36:01,20200821,0A000,12.09,0.335,2.49,4.95,48,87.5,293025,292897,128,220,220,220.4,220.5,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.85,L99- NOM,20.03,16,0.337,7.74,3886993,87.2,0,-0.4,3.47,2.18,0.25,0.22,4.82,1.28,57.6,4.95,7.94,8,4.95
16:36:11,20200821,0A000,12.08,0.335,2.49,4.87,48,87.3,293026,292898,128,220,220,220.4,220.4,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.87,L99- NOM,19.78,16.5,0.337,7.71,3886994,87,0,-0.5,3.35,2.15,0.25,0.22,4.82,1.28,57.5,4.87,7.93,8,4.87
16:36:26,20200821,0A000,12.1,0.335,2.47,4.92,48,87.4,293027,292899,128,220,220,220.2,220.3,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.79,L99- NOM,19.9,18,0.337,7.74,3886995,87.1,0,-0.5,3.39,2.18,0.25,0.22,4.84,1.28,57.5,4.92,7.95,8,4.92
16:36:37,20200821,0A000,12.1,0.335,2.47,4.88,48,87.4,293028,292900,128,220,220,220.1,220.1,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.84,L99- NOM,19.82,19.2,0.337,7.74,3886996,87,0,-0.4,3.43,2.15,0.25,0.22,4.84,1.28,57.5,4.88,7.98,8,4.88
16:36:47,20200821,0A000,12.09,0.335,2.47,4.87,48,87.5,293029,292901,128,220,220.1,220,220,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.8,L99- NOM,19.99,19.7,0.337,7.71,3886997,87.2,0,-0.5,3.54,2.22,0.25,0.22,4.83,1.28,57.5,4.87,7.97,8,4.87
16:37:02,20200821,0A000,12.08,0.335,2.49,4.84,48,87.4,293030,292902,128,220,220.1,219.9,219.8,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.79,L99- NOM,19.9,20.5,0.337,7.74,3886998,87,0,-0.5,3.35,2.22,0.25,0.22,4.82,1.29,57.5,4.84,7.94,8,4.84
16:37:12,20200821,0A000,12.1,0.335,2.48,4.91,48,87.3,293031,292903,128,220,220.1,219.8,219.7,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.76,L99- NOM,19.99,20.7,0.337,7.74,3886999,87,0,-0.4,3.43,2.18,0.25,0.22,4.84,1.29,57.5,4.91,7.94,8,4.91
16:37:22,20200821,0A000,12.09,0.335,2.49,4.94,48,87.6,293032,292904,128,220,220.1,219.7,219.6,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.82,L99- NOM,19.61,20.3,0.337,7.74,3887000,87.3,0,-0.4,3.28,2.07,0.25,0.22,4.84,1.28,57.5,4.94,7.94,8,4.94
16:37:38,20200821,0A000,12.1,0.335,2.5,4.74,48,87.2,293033,292905,128,220,220.1,219.7,219.6,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.85,L99- NOM,18.86,20,0.337,7.74,3887001,86.9,0,-0.4,3.2,2.07,0.25,0.22,4.84,1.29,57.6,4.74,7.94,8,4.74
16:37:48,20200821,0A000,12.09,0.335,2.49,4.89,48,87.4,293034,292906,128,219.9,220.1,219.8,219.6,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.65,L99- NOM,19.44,19.6,0.337,7.74,3887002,87.1,0,-0.5,3.35,2.11,0.25,0.22,4.83,1.28,57.5,4.89,7.95,8,4.89
16:37:58,20200821,0A000,12.06,0.335,2.49,4.91,48,87.5,293035,292907,128,220,220.1,219.8,219.6,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.8,L99- NOM,19.9,18.6,0.337,7.74,3887003,87.2,0,-0.4,3.39,2.15,0.25,0.22,4.82,1.28,57.6,4.91,7.93,8,4.91
16:38:13,20200821,0A000,12.08,0.335,2.48,4.92,48,87.5,293036,292908,128,220.1,220,219.9,219.8,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.83,L99- NOM,19.86,17.9,0.337,7.74,3887004,87.1,0,-0.4,3.35,2.11,0.25,0.22,4.82,1.28,57.5,4.92,7.94,8,4.92
16:38:23,20200821,0A000,12.1,0.335,2.47,4.9,48,87.5,293037,292909,128,220.1,220,220,219.9,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.84,L99- NOM,20.03,16.8,0.337,7.74,3887005,87.2,0,-0.4,3.47,2.22,0.25,0.22,4.84,1.28,57.5,4.9,7.95,8,4.9
16:38:39,20200821,0A000,12.08,0.335,2.49,4.91,48,87.5,293038,292910,128,220,220,220.1,220,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.81,L99- NOM,19.65,16.2,0.337,7.74,3887006,87.1,0,-0.4,3.35,2.11,0.25,0.22,4.82,1.28,57.5,4.91,7.95,8,4.91
16:38:49,20200821,0A000,12.08,0.335,2.48,4.96,48,87.6,293039,292911,128,219.9,220,220.2,220.2,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.83,L99- NOM,19.94,16.1,0.337,7.74,3887007,87.2,0,-0.5,3.35,2.15,0.25,0.22,4.82,1.29,57.5,4.96,7.94,8,4.96
16:38:59,20200821,0A000,12.07,0.335,2.48,4.89,48,87.5,293040,292912,128,219.9,220,220.2,220.3,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.88,L99- NOM,20.2,15.7,0.337,7.74,3887008,87.1,0,-0.4,3.43,2.15,0.25,0.22,4.82,1.28,57.5,4.89,7.94,8,4.89
16:39:14,20200821,0A000,12.08,0.335,2.49,4.89,48,87.3,293041,292913,128,220,220,220.3,220.4,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.8,L99- NOM,19.94,15.8,0.337,7.74,3887009,87,0,-0.5,3.43,2.18,0.25,0.22,4.82,1.28,57.5,4.89,7.92,8,4.89
16:39:25,20200821,0A000,12.09,0.335,2.48,4.92,48,87.4,293042,292914,128,220,220,220.3,220.4,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.81,L99- NOM,19.82,16.2,0.337,7.74,3887010,87.1,0,-0.5,3.43,2.18,0.25,0.22,4.83,1.28,57.5,4.92,7.94,8,4.92
16:39:40,20200821,0A000,12.1,0.335,2.46,4.9,48,87.3,293043,292915,128,220.1,219.9,220.2,220.4,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.83,L99- NOM,19.65,17.1,0.337,7.71,3887011,87.1,0,-0.5,3.43,2.11,0.25,0.22,4.84,1.28,57.5,4.9,7.97,8,4.9
16:39:50,20200821,0A000,12.08,0.335,2.47,4.91,48,87.5,293044,292916,128,220.1,219.9,220.2,220.3,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.81,L99- NOM,19.99,17.4,0.337,7.74,3887012,87.2,0,-0.5,3.43,2.22,0.25,0.22,4.82,1.28,57.6,4.91,7.97,8,4.91
16:40:00,20200821,0A000,12.11,0.335,2.48,4.98,48,87.6,293045,292917,128,220.1,220,220.1,220.3,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.82,L99- NOM,19.99,18.3,0.337,7.74,3887013,87.2,0,-0.5,3.28,2.11,0.25,0.22,4.85,1.28,57.6,4.98,7.92,8,4.98
16:40:16,20200821,0A000,12.08,0.335,2.47,4.95,48,87.6,293046,292918,128,220,220,220.1,220.2,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.9,L99- NOM,20.07,18.6,0.337,7.74,3887014,87.2,0,-0.4,3.43,2.15,0.26,0.22,4.82,1.28,57.5,4.95,7.98,8,4.95
16:40:26,20200821,0A000,12.1,0.335,2.49,4.87,48,87.6,293047,292919,128,219.9,219.9,220,220.1,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.87,L99- NOM,20.03,18.9,0.337,7.74,3887015,87.3,0,-0.4,3.24,2.03,0.25,0.22,4.84,1.29,57.5,4.87,7.92,8,4.87
16:40:36,20200821,0A000,12.08,0.335,2.49,4.87,48,87.4,293048,292920,128,219.9,220,219.9,219.9,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.78,L99- NOM,19.82,19.6,0.337,7.74,3887016,87.1,0,-0.4,3.24,2.11,0.25,0.22,4.82,1.28,57.5,4.87,7.96,8,4.87
16:40:52,20200821,0A000,12.09,0.335,2.51,4.93,48,87.6,293049,292921,128,220.1,220,219.8,219.8,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.78,L99- NOM,19.78,19.8,0.337,7.74,3887017,87.3,0,-0.5,3.35,2.07,0.25,0.22,4.84,1.28,57.5,4.93,7.9,8,4.93
16:41:02,20200821,0A000,12.08,0.335,2.48,4.88,48,87.4,293050,292922,128,220.1,220,219.7,219.7,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.85,L99- NOM,20.11,20.7,0.337,7.74,3887018,87.1,0,-0.4,3.28,2.15,0.25,0.22,4.82,1.28,57.6,4.88,7.96,8,4.88
16:41:17,20200821,0A000,12.09,0.335,2.5,4.93,48,87.4,293051,292923,128,220,220.1,219.7,219.5,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.8,L99- NOM,20.2,21.3,0.337,7.74,3887019,87.1,0,-0.4,3.43,2.11,0.25,0.22,4.84,1.28,57.6,4.93,7.92,8,4.93
