TIME,DATE,@ActExtTorque6,@ActConsumpPower
16:35:51,20200821,20.15,15.4
16:36:01,20200821,20.03,16.0
16:36:11,20200821,19.78,16.5
16:36:26,20200821,19.9,18.0
16:36:37,20200821,19.82,19.2
16:36:47,20200821,19.99,19.7
16:37:02,20200821,19.9,20.5
16:37:12,20200821,19.99,20.7
16:37:22,20200821,19.61,20.3
16:37:38,20200821,18.86,20.0
16:37:48,20200821,19.44,19.6
16:37:58,20200821,19.9,18.6
16:38:13,20200821,19.86,17.9
16:38:23,20200821,20.03,16.8
16:38:39,20200821,19.65,16.2
16:38:49,20200821,19.94,16.1
16:38:59,20200821,20.2,15.7
16:39:14,20200821,19.94,15.8
16:39:25,20200821,19.82,16.2
16:39:40,20200821,19.65,17.1
16:39:50,20200821,19.99,17.4
16:40:00,20200821,19.99,18.3
16:40:16,20200821,20.07,18.6
16:40:26,20200821,20.03,18.9
16:40:36,20200821,19.82,19.6
16:40:52,20200821,19.78,19.8
16:41:02,20200821,20.11,20.7
16:41:17,20200821,20.2,21.3
16:41:27,20200821,20.11,20.8
16:41:38,20200821,19.86,20.6
16:41:53,20200821,19.57,20.4
16:42:03,20200821,19.94,19.7
16:42:13,20200821,20.11,19.0
16:42:28,20200821,20.07,19.0
16:42:39,20200821,19.9,17.9
16:42:54,20200821,19.86,17.0
16:43:04,20200821,19.86,16.1
16:43:14,20200821,19.94,15.3
16:43:24,20200821,19.44,14.6
16:43:40,20200821,19.78,14.6
16:43:50,20200821,19.99,14.4
16:44:05,20200821,20.36,14.2
16:44:15,20200821,19.99,14.5
16:44:31,20200821,20.15,14.8
16:44:41,20200821,19.99,15.2
16:44:51,20200821,20.2,15.8
16:45:01,20200821,20.11,16.3
16:45:17,20200821,20.24,17.0
16:45:27,20200821,20.03,17.2
16:45:42,20200821,20.15,18.1
16:45:52,20200821,20.2,19.3
16:46:03,20200821,20.03,19.5
16:46:18,20200821,19.99,20.1
16:46:28,20200821,20.28,21.5
16:46:38,20200821,20.07,21.6
16:46:54,20200821,20.53,21.6
16:47:04,20200821,20.36,21.9
16:47:19,20200821,20.24,21.9
